Id;Designator;Package;Quantity;Designation;Supplier and ref;Price;
1;SHIELD00;ARDUINO_SHIELD;1;ARDUINO_SHIELD;;;
2;C00,C01,C10,C11,C20,C21,C30,C31,C61;C_0805_2012Metric;9;1uF;1867951;0,05;0,45
3;C60,C40;C_0805_2012Metric;2;100nF;1657913;0,05;0,1
4;C62;C_0805_2012Metric;1;10uF;2494233;0,20;0,2
5;J00,J10,J20,J30;Phoenix_MKDS_2P_3.81;4;Conn_01x02;3704579;0,83;3,32
6;J60;USB_Micro-B_Wuerth_629105150521_CircularHoles;1;USB_B_Micro;2470822;1,70;1,7
7;J61;BarrelJack_Wuerth_6941xx301002;1;Jack-DC;2472141;0,70;0,7
8;J70,J71;Lumberg 1503 17;2;AudioJack3_Ground;2472273;1,39;2,78
9;R00,R10,R20,R30;R_0805_2012Metric;4;1K;1652937;0,03;0,12
10;R01,R02,R11,R12,R21,R22,R31,R32,R40,R41;R_0805_2012Metric;10;4K7;2616758;0,03;0,3
11;U00,U10,U20,U30;TSSOP-10_3x3mm_P0.5mm;4;DRV2605L;2455129;3,83;15,32
12;U40;TSSOP-24_4.4x7.8mm_P0.65mm;1;TCA9548APWR;2496587;1,26;1,26
13;SW00,SW10,SW20,SW30;WUERTH-450301014042-ND;4;450301014042;2134452;1,82;7,28
14;REF**;OSHW-Logo2_9.8x8mm_SilkScreen;1;OSHW-Logo2_9.8x8mm_SilkScreen;;;
15;JP60;PinSocket_1x03_P2.54mm_Vertical;1;Jumper_NC_Dual;4218176;;33,53
;;;;;;;
;;;;;;;
